序号,服务,模块,端口,请求方法,接口路径,Controller,处理方法,接口说明,源码位置,映射注解行,处理方法行,映射注解
1,qdata-ai,ai-standalone,8087,POST,/chat/conversation,ChatConversationController,add,新增ai聊天对话,qdata-ai/qdata-ai-server/src/main/java/tech/qiantong/qdata/ai/controller/admin/chat/ChatConversationController.java,81,82,@PostMapping
2,qdata-ai,ai-standalone,8087,PUT,/chat/conversation,ChatConversationController,edit,修改ai聊天对话,qdata-ai/qdata-ai-server/src/main/java/tech/qiantong/qdata/ai/controller/admin/chat/ChatConversationController.java,92,93,@PutMapping
3,qdata-ai,ai-standalone,8087,GET,/chat/conversation/myList,ChatConversationController,myList,查询ai聊天对话列表,qdata-ai/qdata-ai-server/src/main/java/tech/qiantong/qdata/ai/controller/admin/chat/ChatConversationController.java,66,67,@GetMapping
4,qdata-ai,ai-standalone,8087,POST,/chat/conversation/setAssociations,ChatConversationController,associations,设置关联关系,qdata-ai/qdata-ai-server/src/main/java/tech/qiantong/qdata/ai/controller/admin/chat/ChatConversationController.java,107,108,@PostMapping
5,qdata-ai,ai-standalone,8087,DELETE,/chat/conversation/{ids},ChatConversationController,remove,删除ai聊天对话,qdata-ai/qdata-ai-server/src/main/java/tech/qiantong/qdata/ai/controller/admin/chat/ChatConversationController.java,101,102,@DeleteMapping
6,qdata-ai,ai-standalone,8087,GET,/chat/conversation/{id},ChatConversationController,getInfo,获取ai聊天对话详细信息,qdata-ai/qdata-ai-server/src/main/java/tech/qiantong/qdata/ai/controller/admin/chat/ChatConversationController.java,74,75,@GetMapping
7,qdata-ai,ai-standalone,8087,DELETE,/chat/message/deleteByConversationId,ChatMessageController,deleteByConversationId,清空会话聊天消息,qdata-ai/qdata-ai-server/src/main/java/tech/qiantong/qdata/ai/controller/admin/chat/ChatMessageController.java,98,99,@DeleteMapping
8,qdata-ai,ai-standalone,8087,GET,/chat/message/exportDetailData,ChatMessageController,sendChatMessageStream,导出智能图表的明细数据,qdata-ai/qdata-ai-server/src/main/java/tech/qiantong/qdata/ai/controller/admin/chat/ChatMessageController.java,107,108,@GetMapping
9,qdata-ai,ai-standalone,8087,GET,/chat/message/list-by-conversation-id,ChatMessageController,getChatMessageListByConversationId,获得指定对话的消息列表,qdata-ai/qdata-ai-server/src/main/java/tech/qiantong/qdata/ai/controller/admin/chat/ChatMessageController.java,79,80,@GetMapping
10,qdata-ai,ai-standalone,8087,POST,/chat/message/send-stream,ChatMessageController,sendChatMessageStream,发送消息（流式）,qdata-ai/qdata-ai-server/src/main/java/tech/qiantong/qdata/ai/controller/admin/chat/ChatMessageController.java,70,71,@PostMapping
11,qdata-ai,ai-standalone,8087,DELETE,/chat/message/{ids},ChatMessageController,remove,删除ai聊天消息,qdata-ai/qdata-ai-server/src/main/java/tech/qiantong/qdata/ai/controller/admin/chat/ChatMessageController.java,92,93,@DeleteMapping
12,qdata-ai,ai-standalone,8087,GET,/model/list,ModelController,list,模型列表,qdata-ai/qdata-ai-server/src/main/java/tech/qiantong/qdata/ai/controller/admin/model/ModelController.java,54,55,@GetMapping
13,qdata-quality,quality,8083,POST,/quality/qualityTaskExecutor/generateDataCheck,QualityTaskExecutorController,generateDataCheck,,qdata-quality/src/main/java/tech/qiantong/qdata/quality/controller/quality/QualityTaskExecutorController.java,121,122,@PostMapping
14,qdata-quality,quality,8083,POST,/quality/qualityTaskExecutor/generateValidationErrorDataSql,QualityTaskExecutorController,generateValidationErrorDataSql,,qdata-quality/src/main/java/tech/qiantong/qdata/quality/controller/quality/QualityTaskExecutorController.java,96,97,@PostMapping
15,qdata-quality,quality,8083,POST,/quality/qualityTaskExecutor/generateValidationValidDataSql,QualityTaskExecutorController,generateValidationValidDataSql,,qdata-quality/src/main/java/tech/qiantong/qdata/quality/controller/quality/QualityTaskExecutorController.java,86,87,@PostMapping
16,qdata-quality,quality,8083,POST,/quality/qualityTaskExecutor/pageErrorData,QualityTaskExecutorController,pageErrorData,,qdata-quality/src/main/java/tech/qiantong/qdata/quality/controller/quality/QualityTaskExecutorController.java,62,63,@PostMapping
17,qdata-quality,quality,8083,PUT,/quality/qualityTaskExecutor/runExecuteTask/{id},QualityTaskExecutorController,runExecuteTask,,qdata-quality/src/main/java/tech/qiantong/qdata/quality/controller/quality/QualityTaskExecutorController.java,108,109,@PutMapping
18,qdata-quality,quality,8083,POST,/quality/qualityTaskExecutor/updateErrorData,QualityTaskExecutorController,updateErrorData,,qdata-quality/src/main/java/tech/qiantong/qdata/quality/controller/quality/QualityTaskExecutorController.java,74,75,@PostMapping
19,qdata-quality,quality,8083,POST,/test/test2,TestController,test2,,qdata-quality/src/main/java/tech/qiantong/qdata/quality/controller/da/TestController.java,55,56,@PostMapping
20,qdata-quality,quality,8083,POST,/test/test3,TestController,test3,,qdata-quality/src/main/java/tech/qiantong/qdata/quality/controller/da/TestController.java,62,63,@PostMapping
21,qdata-server,ai,8080,POST,/ai/chatConversation,AiChatConversationController,add,新增ai聊天对话,qdata-module-ai/qdata-module-ai-biz/src/main/java/tech/qiantong/qdata/module/ai/controller/admin/chat/AiChatConversationController.java,92,93,@PostMapping
22,qdata-server,ai,8080,PUT,/ai/chatConversation,AiChatConversationController,edit,修改ai聊天对话,qdata-module-ai/qdata-module-ai-biz/src/main/java/tech/qiantong/qdata/module/ai/controller/admin/chat/AiChatConversationController.java,103,104,@PutMapping
23,qdata-server,ai,8080,POST,/ai/chatConversation/export,AiChatConversationController,export,导出ai聊天对话列表,qdata-module-ai/qdata-module-ai-biz/src/main/java/tech/qiantong/qdata/module/ai/controller/admin/chat/AiChatConversationController.java,73,74,@PostMapping
